on x=-19..34,y=-11..39,z=-31..17
on x=-15..35,y=-32..21,z=-32..21
on x=-40..7,y=-34..14,z=-19..29
on x=-5..49,y=-4..45,z=-9..42
on x=-12..41,y=-41..13,z=-16..31
on x=-45..7,y=-33..12,z=-31..21
on x=-45..4,y=-39..15,z=-4..46
on x=-43..8,y=-24..23,z=-4..48
on x=-7..37,y=-30..14,z=-10..43
on x=-1..49,y=-28..16,z=-33..18
off x=18..31,y=-31..-16,z=31..47
on x=-33..17,y=-35..11,z=-38..8
off x=-20..-5,y=-3..9,z=33..42
on x=-46..5,y=-18..28,z=-43..2
off x=-25..-11,y=23..41,z=-29..-19
on x=-26..18,y=-16..38,z=-41..11
off x=27..37,y=33..49,z=9..19
on x=-47..7,y=-14..38,z=-18..31
off x=30..43,y=-1..14,z=-31..-13
on x=-14..35,y=-12..32,z=-36..12
on x=-59098..-54199,y=-36078..-10444,z=46892..52510
on x=-27877..-18112,y=70267..89349,z=24999..39366
on x=-36199..-8602,y=71195..76809,z=-10503..21476
on x=5670..27742,y=40598..69945,z=-65602..-48260
on x=72870..94698,y=3175..34116,z=-35084..-6641
on x=42062..73209,y=16936..47551,z=27491..47444
on x=60667..98752,y=1362..4305,z=-9529..3882
on x=45435..83681,y=14269..42805,z=23977..43631
on x=-46969..-11204,y=-64874..-37542,z=-61510..-42452
on x=43808..73893,y=-36487..459,z=-68152..-47496
on x=37020..45175,y=48507..58722,z=-54528..-34326
on x=-17084..-876,y=42099..53103,z=47373..64568
on x=-82175..-76501,y=-26365..-2406,z=-7654..9822
on x=32513..38412,y=27812..36559,z=51447..68333
on x=-52250..-24236,y=65974..75215,z=-20853..13104
on x=59752..89340,y=-28907..-10856,z=-28457..-10862
on x=-4766..19655,y=70212..86760,z=-29495..-16204
on x=44263..65389,y=35931..66282,z=-25110..-4764
on x=-8987..3590,y=-79369..-48301,z=-53184..-37866
on x=-26344..-2237,y=52535..69575,z=-47219..-35605
on x=-73002..-55013,y=19533..26644,z=-34236..-13662
on x=55117..76298,y=-20895..-9151,z=-47690..-30277
on x=25936..49385,y=57225..88869,z=20494..38786
on x=-73071..-44427,y=39596..53730,z=23471..46680
on x=22705..51213,y=29107..58220,z=-70852..-43228
on x=43020..56977,y=-71759..-53804,z=-9780..11526
on x=-92967..-62567,y=-41659..-19961,z=-9970..272
on x=-13914..5860,y=-95996..-77759,z=-17914..1599
on x=17450..43800,y=-49834..-30971,z=50562..71131
on x=-6689..5639,y=63615..85399,z=-15384..18541
on x=-4491..3421,y=66426..99325,z=-9454..5054
on x=-39886..-23027,y=55524..90783,z=-23238..-4182
on x=52315..59823,y=-33854..-3180,z=-59484..-38381
on x=-66585..-48438,y=-43163..-27947,z=-58079..-41227
on x=64211..72747,y=-30345..-10551,z=25389..43795
on x=2816..12511,y=-37164..-24081,z=71850..91940
on x=-88169..-70088,y=-12717..6914,z=2334..21316
