LRLRRRLRLLRRLRLRRRLRLRRLRRLLRLRRLRRLRRRLRRRLRLRRRLRLRRLRRLLRLRLLLLLRLRLRRLLRRRLLLRLLLRRLLLLLRLLLRLRRLRRLRRRLRRRLRRLRRLRRRLRLRLRRLRLRLRLRRLRRRLLRLLRRLRLRRRLRLRRRLRLRRRLRRRLRRLRLLLLRLRRRLRLRRLRLRRLRRLRRLLRRRLLLLLLRLRRRLRRLLRRRLRRLLLRLRLRLRRRLRRLRLRRRLRRLRRRLLRRLRRLLLRRRR

QSF = (JQX, GGN)
VBT = (XTD, KGR)
SMK = (SNK, LBX)
LSJ = (JMQ, TJJ)
QFG = (XLT, TVF)
BTF = (SLQ, DJX)
XDF = (JKG, XFH)
PFR = (JGJ, SPB)
QVS = (PXH, PXH)
HVA = (NMF, CTG)
FRS = (GSX, JQK)
GJX = (BRV, LVQ)
NDD = (XMG, PTS)
RDJ = (GHT, TPR)
PJG = (KMR, GCV)
SQM = (KFD, VPC)
DTN = (NCL, HHT)
TRX = (NGH, BBT)
DVR = (JGL, VBL)
FSH = (HVL, XXL)
NSK = (NCX, QHD)
HKC = (XNV, MHL)
QRV = (QNS, FQH)
BVQ = (KHF, VLM)
DXS = (TNK, PVV)
SNL = (DMG, NFH)
DTM = (XMF, BTF)
QHD = (CXS, KXX)
STP = (QNH, FGM)
CMJ = (KCD, LGF)
SDM = (XXT, GKQ)
MXN = (KKH, DXG)
DCS = (HND, MBD)
BKV = (VBT, TNH)
JNS = (QSF, PRS)
BDB = (JXM, NMH)
KQC = (PQS, BJV)
CVC = (JNS, NDN)
FSJ = (RPS, SDM)
LHG = (VMQ, LBF)
KKN = (LPC, MJQ)
CXL = (VKM, QPC)
LNL = (GRQ, DXM)
DFV = (SDM, RPS)
JHQ = (VNF, GBS)
XXT = (BSF, QJX)
NRL = (BJV, PQS)
PVD = (GFK, NVN)
DXM = (LQX, KTN)
JGL = (HSC, CTT)
LLH = (NCV, NKL)
KLN = (HQM, JPV)
TTG = (GJX, QRT)
BFB = (LXC, HNR)
QBX = (CLB, XLR)
DBV = (SSL, CXV)
MBB = (THC, LDK)
JVJ = (VHF, CNL)
GJB = (NGH, BBT)
CNT = (CTS, SKH)
KBX = (LNS, BTN)
VJF = (PXQ, QMF)
CVH = (BGQ, XBL)
TKD = (MFV, PPF)
XLG = (XJK, XBH)
XRK = (RLQ, PDX)
TCS = (SCM, KCB)
DLD = (VPV, BKD)
RNK = (TMJ, MVH)
JJG = (TBT, HGC)
MRV = (KQL, XDB)
JFN = (BTS, DCB)
TMR = (KRR, DKC)
XXL = (VMC, FNR)
LSB = (QRB, TFM)
SRH = (FXT, JQN)
FDS = (LMM, PRM)
QVB = (DQX, LDD)
NSQ = (CMP, MBB)
JMC = (JQK, GSX)
VXF = (BKV, KTH)
NJF = (MFV, PPF)
KMG = (KXD, GNB)
VPV = (VDP, GRG)
HSC = (RBP, TBQ)
RSR = (DLD, MBC)
JGF = (TDM, LSB)
KGP = (CHX, XDR)
DHQ = (BXX, FKB)
VDP = (HCX, RGB)
XLX = (NQX, CLR)
VPB = (LNJ, KDH)
TML = (HMS, NHC)
KLT = (MDQ, NFK)
SHV = (GDL, MKV)
VVX = (DGT, QPK)
VMC = (FRQ, BVH)
MPN = (XHB, DXS)
QGF = (STF, XSH)
HBM = (JDQ, RKC)
RRR = (LLD, HPK)
LVG = (SDF, QVT)
PMR = (BHP, VVQ)
LNP = (MCN, HXT)
