??????#?#?#?? 2,2,6
#?????????#???? 1,3,2,2
?#??#..#?#???#??#. 5,1,1,4
#??????#???##??#???? 2,1,3,9
??.?????.? 3,1
?.?.?#?##????.?.?# 1,1,3,2,1
#..?????#.???#? 1,1,1,1,4
#?#??????#??????. 1,1,8,1,1
??????.????#?#??. 2,1,6
?#?????.?..??.#??. 1,2,1,2,1,1
??.#?.#???.#??? 1,2,1,1,4
###?.?#??.?#?. 4,4,2
.?...??#??? 1,1
????#.?.???#??#?#?. 2,2,3,5
.??.?#????????? 1,2,1,1,1
?#.????#????.????# 1,6,1,2
?#???.?????### 2,1,3,4
?????#.??# 2,1,3
??????.?##?#??#????? 3,1,12
.?..??.????#?? 1,1,3,1
#.?#?#?..?????.??.. 1,5,5,1
.???#?.?#?#?? 1,1,4
???.??#??.?? 3,1
?????##?#??????????. 1,6,2,1,1
..??#?????..?## 4,3
????.#??.# 1,1,1
????###.???#??.#. 7,5,1
??#?.#??.?#?.??? 2,2,2,1,1
.#???#?#...###?##?# 1,4,8
.?#??.???? 4,1
#?#?.???#????#### 1,1,4,6
#?#?.?????##??#???? 1,2,8,1,1
?####?????.#??? 5,1,3
??.??.???##?? 1,1,7
#?#??#??..#??##?? 1,6,1,3
???????????? 1,1,1,4
#?????#???.???? 8,1,1,1
?????.????#?#? 1,1,2,4
?.##???.?#???? 5,3
?.??##????????. 7,4
??#?##???##?????#? 1,9,1,1
?????.#.???#??.? 4,1,3,1
?????????.. 4,1
..#??#?????.# 1,2,1,1
???.#?.????? 2,1,1,3
?..?#..??#?. 2,2
??#????????.???#### 9,1,1,4
??###?#????##?. 4,7
.??#??#???.#????# 3,1,1,6
#??#?.???#?? 4,1,1,1
?#?##....#?#?#?? 4,5,1
?.???#?.??? 1,4
?????????.#???..?## 3,1,1,1,1,3
?#??#??#??#.??????# 7,2,2,2
????#????.??# 6,1,2
#.??.?.?????#????? 1,1,1,5,2
#.?.?##????#????.?. 1,1,3,3,1,1
??.?..??..? 2,1,1
????#?????#.??? 6,1,1,2
#??#??##?????.#??. 5,5,1,1,1
?#?????????#??#.??? 4,1,1,1,1,1
?#??????.? 6,1
??..??????.#??#?? 1,3,5
?##??.?#?? 2,1
##???????#???? 3,3,1,1
?.??.??????#.##?#? 2,6,5
.?????#?????.????.? 3,7,2,1
?.???????.??###????. 1,3,1,7
.??#????#?? 3,2
?..???..??? 1,3,1
.?#?#?#???.#.? 1,3,1,1
.#?.???#?#?#?#??#??? 1,14,1
#??.##???????# 2,7,1
#?????#.?.??.#? 2,3,1,2
#.???.???#.#? 1,2,2,1
.???##?###????. 3,6
#?#????#?.#???.?. 4,3,1,1,1
?#??.#.#?..? 2,1,2
?#???.???.????#????# 4,2,4,2
?????#.?##?#?? 4,6
.#.?.??????? 1,4,2
?.??????##???.?#### 1,10,5
.?.?????????##???? 1,3,1,6
???#?#??.??#..??? 6,3,2
?????#?##??.??#?? 9,3
##????.??#???? 2,2,7
?#???#???. 3,4
??#????..????#??#?# 1,3,1,1,7
.?????#?#?????????.# 1,6,1,2,1
?#..??.#?.?#???? 1,1,1,6
?#?.??.???????#? 2,2,9
????????.???. 5,1,1
?????????.?##? 1,3,1,3
??#?????#?????#?? 3,1,8
??#????.??##???#? 3,2,2,4
????????????? 7,3
??.????#???#????##. 1,15
#???##????.??? 1,7,1,1
?.?.???#.##?..???#? 1,1,1,1,3,4
.?#?.?#??##??#???#?? 2,8,2
????#???.#..??#????? 4,2,1,7
???..?.??#?#?##??#? 1,1,1,12
??#?.??.?????.???? 4,2,1,1,3
??.?#????#??#.?? 2,6,1
?#??#.?#?????.? 5,7
#.#??.???. 1,2,3
##?????#???.#????#? 6,3,2,1,2
.???.##?.?..?. 2,3,1,1
.#?#??###?.?###.? 8,4,1
??????#?#?.#?.??#?.? 8,2,3,1
??#?#?#?#..????#.# 6,1,1,1,1,1
??#??.?#???##?#??.. 5,2,6
?????.????### 2,2,1,4
????#?????????.. 5,1,1
?????#.??? 5,1
#??#????.???#?.##?? 1,3,1,1,2,1
??.??.???###???.??? 2,1,1,5,1,1
#???#?##?.?? 3,4,1
.#????#?.??. 6,1
#????.???.#??#?#???# 1,1,1,1,1,8
??????????#?????? 5,2,7
??.?#????? 2,1,1
???#?.??##?.????? 4,3,3
.?????.?.?#? 1,1,1,1
????????#??#??#???? 1,1,9,2
??..?..##? 1,3
.#..???#?.??#???.? 1,2,4,1,1
??.#?????#???.??? 7,1,1
?#???#?.?.??#????#? 2,3,4,1,2
.?#???#??????????# 2,2,2,2,1
?.?.#????????? 1,1,6
.#?.??#?????? 2,4,2
.##.#..??.??.???###. 2,1,1,2,2,3
????????###??#?##?# 1,1,1,12
#?#????#.??.??#??? 1,3,1,1,1,2
?#..???#?.???.???# 1,1,1,3,1,1
?###??.??#??##? 3,5
??.#?.?????????.?? 1,1,1,3,2,1
?.??#??????##????#?? 3,10
?.#???#???????#??.?# 1,4,1,4,2
??..#?.???. 1,2
##?..??#?????#?.? 3,10
?#??#???????#?? 2,1,2,2
?##????.???. 2,2
??.??#????.?????#??? 1,1,1,9
?.??.?#?##???.???? 1,2,5,1,1,1
.???????????? 1,5
#.??.??.???? 1,2,1,3
??...??#??????? 1,8
?#??#?#?#?????#??? 10,1,1,2
?#???.????? 1,2
????#.?##? 1,4
#?..#????.?..?????## 2,1,1,1,7
??????#???#??????.? 1,12,1,1
.?????.???? 1,1
??#??#???.??#? 4,2
??#.?.?.??? 1,1
.???#?????#### 3,2,5
????##???..?#?? 1,6,1
.????#??#???#?... 3,5
.???#?#??..??#??? 1,3,1,1,3
###?##??.#????#? 7,7
?.?.????.?.???? 1,4,1,1
??..?.?#..?.. 1,2
.???#?.?#??? 3,1,1
??.?????????????.?# 2,1,1,1,1,2
???#?.??????? 3,6
????.??.?????#?.???? 3,1,1,4,4
???#?.#???#???.???. 3,7,2
?#?.?#??#??.? 1,7,1
??#???#??? 2,2,1
????#???#????#.#???? 1,12,2
??##???..???? 5,3
???#??##?.??.??? 6,1,2
#.????..## 1,1,2
.?????#??#?.#?##?? 1,5,1,2,1
??#?##????.#?##?#??. 4,6
?.?##???##????#????. 1,12,1
???????.??#???? 1,1,6
??#?.???.#??..???? 1,1
#?#??##???.?#? 3,5,3
#????##??#?????? 1,8,1,1
?.??##??#.? 2,1,1
?..???##??#?? 1,1,2,3
?#?#?##.???#... 6,3
??#??#??#?.#?????## 2,1,2,1,5
.#?##?..#?#??#?? 1,2,3,3
??#??#??????? 5,1,2
.????#?.??? 4,2
#??.##.?.##??? 1,1,2,4
.???????#?#???.? 2,1,1,4
?#???#??#?????#.??? 1,1,2,2,1,2
?.#?????.?????????#. 1,2,1,4,1,2
?.????#????.?##??? 7,5
.???#?#?????? 2,1,1,1
#?#?##???????###? 8,1,5
.??.????#. 2,1,1
..?..#?.??? 1,2,1
?.?.#?#?.?.??.??? 1,1,4,1,2
???##?.?.#???? 2,2,1,2
???##.#?#???## 1,2,8
?.#?.???#?#?#?#.?.? 1,1,6,3,1,1
???##?.?????? 5,2
???#.????#??? 1,3,1
??????????#? 5,1
??.#???.#?????#?.# 1,1,2,2,3,1
???#?#?????#???#? 1,3,1,5
?#????????#????## 1,1,4,2,4
?????#.??#??#?? 1,1,1,1,6
.?.#?#.?#??????#?? 1,1,1,3,2,3
.??#???##?##??. 3,6
..???#???.??? 2,1
.????#???. 1,1,1
????##???.??????? 1,2,1,7
?????????????#.?. 2,9,1,1
??#?..??.?? 2,1,1
??#??#??.?#??# 7,2,1
#?#???????#?? 1,1,8
???..#???? 1,2,1
#??.?????. 2,1,2
?.???#???????#?#???? 1,6,3,3
.???#?#?#????#?.?#.. 13,1
?#???##??#????#?#??? 2,14
??.????.???????? 1,2,4,1
.???#?.??????#??#??? 5,6,3,1
???.##.?#??????#??? 1,2,1,1,5,1
?.??.????.??#.??# 1,4,1,1,3
???#????##?.?#?? 3,3,2
???#???.#?#??? 4,1,3
?#?#?#?####????#?. 1,14
??#??????.? 2,3
??#??????????#. 5,2,1,1
.?#.?#.??????. 1,1,1,3
????????????? 1,2,2,1
#?#??.?#????## 5,3,3
???#???#?# 4,1,1
.#?.???????.#. 2,3,1,1
..????##????#?#?? 7,4
?#????#?????#?#??? 8,1,1,1,1
????#??..????. 3,1,2
??.??.?#.? 1,1,1
??????.?#.?? 2,1,2,1
?#??.???#?.?..???? 1,1,2,1,2,1
???.???.?#???? 1,3
???.??????..?.? 2,1,3,1,1
????????#?.#?#????.? 2,1,3,7,1
..??..#?###??#???.? 1,9
???#??.#??. 2,2
??#.???????.? 2,1,1,1
.???##??.?.??.?? 4,1,2
??#?#..???#??#???# 2,1,2,4,1,1
??#???##????#.??? 2,4,4,2
.?????#?#?? 1,2,2
#??????#.?????? 2,1,1,1,1
??????#??.?? 1,1,2
?..?#.??#?.? 1,2,2,1
.#??#?#?.? 1,4
#??#???????.?##? 7,2,2
?#??.#??##.#.???##? 1,1,1,3,1,6
??.?.??#?##???????.? 2,1,9,2,1
.?..#???#?#. 1,1,1,1
?.?.?????? 1,1
??##?????.#?#????? 7,8
??#?###?.?#??#??#?? 7,1,5,1
???#?#?...#???? 1,4,1,1
???????####?.?#????? 3,5,5
??.?.?????#? 1,2,1
.?????#???#???? 4,4
.?####???.??# 6,1,1
???#????.??#?#? 3,1,1,4
??#???.??.#???# 3,1,1,1,1
????#??????#? 7,3
??####?#.??#???#??#? 1,6,1,3,1
?#?###??.??.?#??. 7,4
.??.??#??#..? 1,2,1,1
????.?????.?##??. 3,1,1,5
????#?????.?. 4,1
#???.?#?##??..#?# 1,1,6,1,1
???#?#????????.??.? 1,8,1,1,1
????????????###?# 6,5
???#?.??##??.?. 1,2,4,1
#.?#??????#??? 1,1,5
????????#????.???# 9,2,4
??.??#?.#?#? 1,2,4
??#.????#???#?? 1,1,2,1,4
????.#?.##? 2,1,2
.??####..#????#. 6,3,1
???.??####???? 1,1,4,2
.???.#?#?#???? 1,9
??#??..?????.. 4,1,2
???????#???#.??#. 3,1,3,2
?..#?#???..#???. 6,3
